user_id,country,fetched_at
14613185,DE,2017-10-02
17232910,DE,2017-10-02
19063025,TR,2017-10-02
19813934,TR,2017-10-02
22356335,DE,2017-10-02
24661826,DE,2017-10-02
28955986,TR,2017-10-02
37020028,DE,2017-10-02
45913755,DE,2017-10-02
45961851,FR,2017-10-02
46072242,TR,2017-10-02
47624310,DE,2017-10-02
47952127,DE,2017-10-02
50797952,TR,2017-10-02
53842150,DE,2017-10-02
57734851,DE,2017-10-02
66732993,TR,2017-10-02
75276840,DE,2017-10-02
86665649,TR,2017-10-02
90579718,DE,2017-10-02
92460378,TR,2017-10-02
98250867,TR,2017-10-02
99295348,TR,2017-10-02
100283173,DE,2017-10-02
107984182,TR,2017-10-02
113289725,DE,2017-10-02
115550802,DE,2017-10-02
118082418,DE,2017-10-02
119183782,TR,2017-10-02
125023898,TR,2017-10-02
126758373,TR,2017-10-02
131139720,DE,2017-10-02
137333571,DE,2017-10-02
141641311,TR,2017-10-02
143849280,TR,2017-10-02
147360227,DE,2017-10-02
147528633,TR,2017-10-02
149800990,TR,2017-10-02
152418169,DE,2017-10-02
152852932,DE,2017-10-02
152852932,FR,2017-10-02
158758716,TR,2017-10-02
161600597,TR,2017-10-02
172001193,DE,2017-10-02
179130623,TR,2017-10-02
180113275,TR,2017-10-02
189935217,DE,2017-10-02
192768731,TR,2017-10-02
200115775,TR,2017-10-02
207398891,TR,2017-10-02
213555363,DE,2017-10-02
214470817,TR,2017-10-02
214544700,TR,2017-10-02
215584318,TR,2017-10-02
219259246,TR,2017-10-02
225418471,FR,2017-10-02
228023346,DE,2017-10-02
229060642,TR,2017-10-02
243726128,FR,2017-10-02
244980581,TR,2017-10-02
245879264,TR,2017-10-02
248829087,TR,2017-10-02
250160754,TR,2017-10-02
268647791,DE,2017-10-02
272383381,DE,2017-10-02
272383381,FR,2017-10-02
276016319,TR,2017-10-02
285994737,TR,2017-10-02
287843201,DE,2017-10-02
302111485,TR,2017-10-02
305655577,DE,2017-10-02
306462816,TR,2017-10-02
308258393,TR,2017-10-02
311118058,TR,2017-10-02
317734636,DE,2017-10-02
326003773,TR,2017-10-02
