COUNTRY,ISO CODE,TIME PERIOD,REMOVAL REQUESTS (COURT ORDERS),"REMOVAL REQUESTS (GOV’T AGENCY, POLICE, OTHER)",PERCENTAGE WHERE SOME CONTENT WITHHELD,ACCOUNTS SPECIFIED,ACCOUNTS WITHHELD,TWEETS WITHHELD,ACCOUNTS (TOS),ACCOUNTS (NO ACTION),FLAGS,LINKS,REPORT LINKS
Argentina,AR,July - December 2015,-,-,-,-,-,-,-,-,/content/dam/transparency-twitter/flags/1x1/ar.svg,/en/countries/ar.html,/en/removal-requests.html#removal-requests-jul-dec-2015
Australia,AU,July - December 2015,0,3,0%,2,0,0,0,2,/content/dam/transparency-twitter/flags/1x1/au.svg,/en/countries/au.html,/en/removal-requests.html#removal-requests-jul-dec-2015
Bosnia and Herzegovina,BA,July - December 2015,0,1,0%,1,0,0,0,1,/content/dam/transparency-twitter/flags/1x1/ba.svg,/en/countries/ba.html,/en/removal-requests.html#removal-requests-jul-dec-2015
Brazil,BR,July - December 2015,15,3,22%,107,1,107 (75),8,23,/content/dam/transparency-twitter/flags/1x1/br.svg,/en/countries/br.html,/en/removal-requests.html#removal-requests-jul-dec-2015
Canada,CA,July - December 2015,0,8,0%,8,0,0,6,2,/content/dam/transparency-twitter/flags/1x1/ca.svg,/en/countries/ca.html,/en/removal-requests.html#removal-requests-jul-dec-2015
Colombia,CO,July - December 2015,0,3,0%,3,0,0,2,1,/content/dam/transparency-twitter/flags/1x1/co.svg,/en/countries/co.html,/en/removal-requests.html#removal-requests-jul-dec-2015
Cyprus,CY,July - December 2015,-,-,-,-,-,-,-,-,/content/dam/transparency-twitter/flags/1x1/cy.svg,/en/countries/cy.html,/en/removal-requests.html#removal-requests-jul-dec-2015
Czech Republic,CZ,July - December 2015,0,1,0%,1,0,0,0,1,/content/dam/transparency-twitter/flags/1x1/cz.svg,/en/countries/cz.html,/en/removal-requests.html#removal-requests-jul-dec-2015
Dominican Republic,DO,July - December 2015,0,11,0%,11,0,0,3,8,/content/dam/transparency-twitter/flags/1x1/do.svg,/en/countries/do.html,/en/removal-requests.html#removal-requests-jul-dec-2015
Ecuador,EC,July - December 2015,0,16,0%,20,0,0,2,18,/content/dam/transparency-twitter/flags/1x1/ec.svg,/en/countries/ec.html,/en/removal-requests.html#removal-requests-jul-dec-2015
Egypt,EG,July - December 2015,0,1,0%,1,0,0,0,1,/content/dam/transparency-twitter/flags/1x1/eg.svg,/en/countries/eg.html,/en/removal-requests.html#removal-requests-jul-dec-2015
France,FR,July - December 2015,4,150,19%,305,2,74 (54),91,158,/content/dam/transparency-twitter/flags/1x1/fr.svg,/en/countries/fr.html,/en/removal-requests.html#removal-requests-jul-dec-2015
Georgia,GE,July - December 2015,0,1,0%,1,0,0,0,1,/content/dam/transparency-twitter/flags/1x1/ge.svg,/en/countries/ge.html,/en/removal-requests.html#removal-requests-jul-dec-2015
Germany,DE,July - December 2015,0,10,20%,10,1,1,4,4,/content/dam/transparency-twitter/flags/1x1/de.svg,/en/countries/de.html,/en/removal-requests.html#removal-requests-jul-dec-2015
Greece,GR,July - December 2015,0,4,0%,4,0,0,1,3,/content/dam/transparency-twitter/flags/1x1/gr.svg,/en/countries/gr.html,/en/removal-requests.html#removal-requests-jul-dec-2015
Hong Kong,HK,July - December 2015,-,-,-,-,-,-,-,-,/content/dam/transparency-twitter/flags/1x1/hk.svg,/en/countries/hk.html,/en/removal-requests.html#removal-requests-jul-dec-2015
India,IN,July - December 2015,1,39,0%,47,0,0,21,26,/content/dam/transparency-twitter/flags/1x1/in.svg,/en/countries/in.html,/en/removal-requests.html#removal-requests-jul-dec-2015
Indonesia,ID,July - December 2015,0,8,0%,8,0,0,5,3,/content/dam/transparency-twitter/flags/1x1/id.svg,/en/countries/id.html,/en/removal-requests.html#removal-requests-jul-dec-2015
Iraq,IQ,July - December 2015,-,-,-,-,-,-,-,-,/content/dam/transparency-twitter/flags/1x1/iq.svg,/en/countries/iq.html,/en/removal-requests.html#removal-requests-jul-dec-2015
Ireland,IE,July - December 2015,-,-,-,-,-,-,-,-,/content/dam/transparency-twitter/flags/1x1/ie.svg,/en/countries/ie.html,/en/removal-requests.html#removal-requests-jul-dec-2015
Italy,IT,July - December 2015,0,4,0%,4,0,0,4,0,/content/dam/transparency-twitter/flags/1x1/it.svg,/en/countries/it.html,/en/removal-requests.html#removal-requests-jul-dec-2015
Japan,JP,July - December 2015,2,35,3%,130,0,1,81,48,/content/dam/transparency-twitter/flags/1x1/jp.svg,/en/countries/jp.html,/en/removal-requests.html#removal-requests-jul-dec-2015
Kazakhstan,KZ,July - December 2015,0,4,0%,18,0,0,13,5,/content/dam/transparency-twitter/flags/1x1/kz.svg,/en/countries/kz.html,/en/removal-requests.html#removal-requests-jul-dec-2015
Kenya,KE,July - December 2015,1,0,0%,1,0,0,0,1,/content/dam/transparency-twitter/flags/1x1/ke.svg,/en/countries/ke.html,/en/removal-requests.html#removal-requests-jul-dec-2015
Kuwait,KW,July - December 2015,0,3,0%,3,0,0,2,1,/content/dam/transparency-twitter/flags/1x1/kw.svg,/en/countries/kw.html,/en/removal-requests.html#removal-requests-jul-dec-2015
Luxembourg,LU,July - December 2015,0,1,0%,1,0,0,0,1,/content/dam/transparency-twitter/flags/1x1/lu.svg,/en/countries/lu.html,/en/removal-requests.html#removal-requests-jul-dec-2015
Malaysia,MY,July - December 2015,0,3,0%,24,0,0,23,1,/content/dam/transparency-twitter/flags/1x1/my.svg,/en/countries/my.html,/en/removal-requests.html#removal-requests-jul-dec-2015
Mexico,MX,July - December 2015,-,-,-,-,-,-,-,-,/content/dam/transparency-twitter/flags/1x1/mx.svg,/en/countries/mx.html,/en/removal-requests.html#removal-requests-jul-dec-2015
Mongolia,MN,July - December 2015,0,111,0%,111,0,0,23,88,/content/dam/transparency-twitter/flags/1x1/mn.svg,/en/countries/mn.html,/en/removal-requests.html#removal-requests-jul-dec-2015
Netherlands,NL,July - December 2015,0,5,40%,6,0,3 (2),0,4,/content/dam/transparency-twitter/flags/1x1/nl.svg,/en/countries/nl.html,/en/removal-requests.html#removal-requests-jul-dec-2015
New Zealand,NZ,July - December 2015,0,1,0%,0,0,0,0,0,/content/dam/transparency-twitter/flags/1x1/nz.svg,/en/countries/nz.html,/en/removal-requests.html#removal-requests-jul-dec-2015
Norway,NO,July - December 2015,-,-,-,-,-,-,-,-,/content/dam/transparency-twitter/flags/1x1/no.svg,/en/countries/no.html,/en/removal-requests.html#removal-requests-jul-dec-2015
Pakistan,PK,July - December 2015,0,12,0%,33,0,0,9,24,/content/dam/transparency-twitter/flags/1x1/pk.svg,/en/countries/pk.html,/en/removal-requests.html#removal-requests-jul-dec-2015
Russia,RU,July - December 2015,6,"1,729",5%,"1,774",14,82 (74),"1,306",380,/content/dam/transparency-twitter/flags/1x1/ru.svg,/en/countries/ru.html,/en/removal-requests.html#removal-requests-jul-dec-2015
Saudi Arabia,SA,July - December 2015,0,1,0%,1,0,0,0,1,/content/dam/transparency-twitter/flags/1x1/sa.svg,/en/countries/sa.html,/en/removal-requests.html#removal-requests-jul-dec-2015
Serbia,RS,July - December 2015,0,1,0%,1,0,0,0,1,/content/dam/transparency-twitter/flags/1x1/rs.svg,/en/countries/rs.html,/en/removal-requests.html#removal-requests-jul-dec-2015
South Korea,KR,July - December 2015,0,79,0%,131,0,0,61,70,/content/dam/transparency-twitter/flags/1x1/kr.svg,/en/countries/kr.html,/en/removal-requests.html#removal-requests-jul-dec-2015
Spain,ES,July - December 2015,3,3,0%,6,0,0,1,5,/content/dam/transparency-twitter/flags/1x1/es.svg,/en/countries/es.html,/en/removal-requests.html#removal-requests-jul-dec-2015
Turkey,TR,July - December 2015,450,"1,761",23%,"8,092",414,"3,003 (2,156)",530,"4,992",/content/dam/transparency-twitter/flags/1x1/tr.svg,/en/countries/tr.html,/en/removal-requests.html#removal-requests-jul-dec-2015
United Arab Emirates,AE,July - December 2015,-,-,-,-,-,-,-,-,/content/dam/transparency-twitter/flags/1x1/ae.svg,/en/countries/ae.html,/en/removal-requests.html#removal-requests-jul-dec-2015
United Kingdom,GB,July - December 2015,1,21,5%,120,0,82 (77),11,32,/content/dam/transparency-twitter/flags/1x1/gb.svg,/en/countries/gb.html,/en/removal-requests.html#removal-requests-jul-dec-2015
United States,US,July - December 2015,3,98,0%,107,0,0,58,49,/content/dam/transparency-twitter/flags/1x1/us.svg,/en/countries/us.html,/en/removal-requests.html#removal-requests-jul-dec-2015
Venezuela,VE,July - December 2015,-,-,-,-,-,-,-,-,/content/dam/transparency-twitter/flags/1x1/ve.svg,/en/countries/ve.html,/en/removal-requests.html#removal-requests-jul-dec-2015
TOTALS,,,486,"4,131",3%,"11,092",432,"3,353 (2,440)","2,265","5,955",,,
